DATE_TIME;DRBS_PRESS;NEWK_PRESS
2021-03-11 19:39:00;978.696;1015.250
2021-03-11 19:40:00;978.696;1015.250
2021-03-11 19:41:00;978.706;1015.120
2021-03-11 19:42:00;978.706;1015.120
2021-03-11 19:43:00;978.706;1015.250
2021-03-11 19:44:00;978.706;1015.250
2021-03-11 19:45:00;978.776;1015.250
2021-03-11 19:46:00;978.776;1015.250
2021-03-11 19:47:00;978.816;1015.250
2021-03-11 19:48:00;978.816;1015.250
2021-03-11 19:49:00;978.866;1015.380
2021-03-11 19:50:00;978.866;1015.380
2021-03-11 19:51:00;978.946;1015.380
2021-03-11 19:52:00;978.946;1015.380
2021-03-11 19:53:00;978.996;1015.520
2021-03-11 19:54:00;978.996;1015.520
2021-03-11 19:55:00;979.086;1015.520
2021-03-11 19:56:00;979.086;1015.520
2021-03-11 19:57:00;978.986;1015.520
2021-03-11 19:58:00;978.986;1015.520
2021-03-11 19:59:00;979.176;1015.520
2021-03-11 20:00:00;979.176;1015.520
2021-03-11 20:01:00;979.086;1015.520
2021-03-11 20:02:00;979.086;1015.380
2021-03-11 20:03:00;979.296;1015.520
2021-03-11 20:04:00;979.296;1015.520
2021-03-11 20:05:00;979.526;1015.380
2021-03-11 20:06:00;979.526;1015.380
2021-03-11 20:07:00;979.736;1015.380
2021-03-11 20:08:00;979.736;1015.380
2021-03-11 20:09:00;979.876;1015.380
2021-03-11 20:10:00;979.876;1015.380
2021-03-11 20:11:00;979.926;1015.380
2021-03-11 20:12:00;979.926;1015.380
2021-03-11 20:13:00;979.846;1015.250
2021-03-11 20:14:00;979.846;1015.250
2021-03-11 20:15:00;979.866;1015.250
2021-03-11 20:16:00;979.866;1015.250
2021-03-11 20:17:00;979.906;1015.250
2021-03-11 20:18:00;979.906;1015.250
2021-03-11 20:19:00;979.936;1015.250
2021-03-11 20:20:00;979.936;1015.250
2021-03-11 20:21:00;979.916;1015.120
2021-03-11 20:22:00;979.916;1015.120
2021-03-11 20:23:00;980.036;1015.120
2021-03-11 20:24:00;980.036;1015.120
2021-03-11 20:25:00;980.046;1015.120
2021-03-11 20:26:00;980.046;1015.120
2021-03-11 20:27:00;980.006;1014.980
2021-03-11 20:28:00;980.006;1014.980
2021-03-11 20:29:00;980.086;1014.980
2021-03-11 20:30:00;980.086;1014.980
2021-03-11 20:31:00;980.086;1014.850
2021-03-11 20:32:00;980.086;1014.850
2021-03-11 20:33:00;980.026;1014.850
2021-03-11 20:34:00;980.026;1014.850
2021-03-11 20:35:00;980.066;1014.720
2021-03-11 20:36:00;980.066;1014.720
2021-03-11 20:37:00;980.106;1014.720
2021-03-11 20:38:00;980.106;1014.720
2021-03-11 20:39:00;980.056;1014.720
2021-03-11 20:40:00;980.056;1014.720
2021-03-11 20:41:00;980.086;1014.720
2021-03-11 20:42:00;980.086;1014.720
2021-03-11 20:43:00;980.116;1014.720
2021-03-11 20:44:00;980.116;1014.720
2021-03-11 20:45:00;980.156;1014.720
2021-03-11 20:46:00;980.156;1014.720
2021-03-11 20:47:00;980.186;1014.720
2021-03-11 20:48:00;980.186;1014.720
2021-03-11 20:49:00;980.256;1014.720
2021-03-11 20:50:00;980.256;1014.720
2021-03-11 20:51:00;980.216;1014.850
2021-03-11 20:52:00;980.216;1014.850
2021-03-11 20:53:00;980.296;1014.850
2021-03-11 20:54:00;980.296;1014.850
2021-03-11 20:55:00;980.336;1014.850
2021-03-11 20:56:00;980.336;1014.850
2021-03-11 20:57:00;980.256;1014.850
2021-03-11 20:58:00;980.256;1014.720
2021-03-11 20:59:00;980.136;1014.720
2021-03-11 21:00:00;980.136;1014.720
2021-03-11 21:01:00;980.196;1014.720
2021-03-11 21:02:00;980.196;1014.720
2021-03-11 21:03:00;980.216;1014.720
2021-03-11 21:04:00;980.216;1014.720
2021-03-11 21:05:00;980.326;1014.580
2021-03-11 21:06:00;980.326;1014.580
2021-03-11 21:07:00;980.256;1014.580
2021-03-11 21:08:00;980.256;1014.580
