DATE_TIME;DRBS;NEWK
2021-03-11 19:54:00;121.550; 99.070
2021-03-11 19:55:00;118.450; 98.530
2021-03-11 19:56:00;122.600; 99.430
2021-03-11 19:57:00;115.933; 95.440
2021-03-11 19:58:00;120.050; 99.500
2021-03-11 19:59:00;117.017; 98.980
2021-03-11 20:00:00;121.583; 96.180
2021-03-11 20:01:00;120.067; 97.570
2021-03-11 20:02:00;117.267; 96.860
2021-03-11 20:03:00;119.083; 99.210
2021-03-11 20:04:00;119.167;100.770
2021-03-11 20:05:00;120.567; 96.710
2021-03-11 20:06:00;118.333; 97.600
2021-03-11 20:07:00;120.300; 98.390
2021-03-11 20:08:00;116.900; 95.180
2021-03-11 20:09:00;119.100;102.630
2021-03-11 20:10:00;120.633; 98.280
2021-03-11 20:11:00;119.517; 98.120
2021-03-11 20:12:00;116.433;101.780
2021-03-11 20:13:00;116.350;100.400
2021-03-11 20:14:00;117.450; 96.440
2021-03-11 20:15:00;120.667; 97.190
2021-03-11 20:16:00;120.750; 98.600
2021-03-11 20:17:00;117.767;100.190
2021-03-11 20:18:00;118.467; 98.500
2021-03-11 20:19:00;117.933; 98.540
2021-03-11 20:20:00;122.267; 96.090
2021-03-11 20:21:00;116.367;105.430
2021-03-11 20:22:00;117.417;100.150
2021-03-11 20:23:00;116.817;100.280
2021-03-11 20:24:00;116.633; 98.740
2021-03-11 20:25:00;119.567;100.150
2021-03-11 20:26:00;120.300; 95.820
2021-03-11 20:27:00;119.700;101.190
2021-03-11 20:28:00;119.050; 99.470
2021-03-11 20:29:00;115.550; 97.310
2021-03-11 20:30:00;118.617;101.100
2021-03-11 20:31:00;119.200; 98.100
2021-03-11 20:32:00;117.800; 95.330
2021-03-11 20:33:00;115.250; 97.740
2021-03-11 20:34:00;119.050; 99.950
2021-03-11 20:35:00;114.883; 99.120
2021-03-11 20:36:00;121.717;101.210
2021-03-11 20:37:00;120.967; 98.360
2021-03-11 20:38:00;119.017; 97.710
2021-03-11 20:39:00;121.150;101.150
2021-03-11 20:40:00;117.467; 98.540
2021-03-11 20:41:00;118.500;100.780
2021-03-11 20:42:00;116.600; 98.450
2021-03-11 20:43:00;114.133; 98.570
2021-03-11 20:44:00;116.100; 98.710
2021-03-11 20:45:00;117.917; 98.330
2021-03-11 20:46:00;114.933;100.420
2021-03-11 20:47:00;117.117; 95.980
2021-03-11 20:48:00;116.400; 99.750
2021-03-11 20:49:00;116.317; 94.770
2021-03-11 20:50:00;117.517; 98.040
2021-03-11 20:51:00;120.050; 99.510
2021-03-11 20:52:00;117.167; 98.600
2021-03-11 20:53:00;116.883; 99.280
2021-03-11 20:54:00;119.867; 97.540
2021-03-11 20:55:00;121.100; 96.650
2021-03-11 20:56:00;118.350; 98.860
2021-03-11 20:57:00;117.367; 96.530
2021-03-11 20:58:00;117.750; 99.810
2021-03-11 20:59:00;118.900;101.430
2021-03-11 21:00:00;117.600; 97.310
2021-03-11 21:01:00;117.867; 99.090
2021-03-11 21:02:00;119.100; 99.770
2021-03-11 21:03:00;118.150; 98.440
2021-03-11 21:04:00;116.233; 98.860
2021-03-11 21:05:00;115.367; 99.430
2021-03-11 21:06:00;115.433; 99.040
2021-03-11 21:07:00;117.383; 99.830
2021-03-11 21:08:00;121.283; 99.750
2021-03-11 21:09:00;118.850; 96.800
2021-03-11 21:10:00;118.467;100.690
2021-03-11 21:11:00;117.450; 98.030
2021-03-11 21:12:00;112.900; 98.920
2021-03-11 21:13:00;119.283; 98.810
2021-03-11 21:14:00;117.133;100.010
2021-03-11 21:15:00;118.750;101.330
2021-03-11 21:16:00;116.250; 98.070
2021-03-11 21:17:00;118.600; 97.010
2021-03-11 21:18:00;117.817; 98.900
2021-03-11 21:19:00;114.800; 99.620
2021-03-11 21:20:00;113.883; 98.770
2021-03-11 21:21:00;118.883; 98.000
2021-03-11 21:22:00;116.767; 98.720
2021-03-11 21:23:00;118.150; 99.120
2021-03-11 21:24:00;120.983;100.360
2021-03-11 21:25:00;118.583; 97.190
2021-03-11 21:26:00;118.200; 98.240
2021-03-11 21:27:00;120.783; 98.150
2021-03-11 21:28:00;117.867; 98.590
2021-03-11 21:29:00;122.283; 95.390
2021-03-11 21:30:00;116.183; 98.530
2021-03-11 21:31:00;116.383; 97.360
2021-03-11 21:32:00;117.483;100.780
2021-03-11 21:33:00;116.900; 96.030
2021-03-11 21:34:00;117.700; 94.600
2021-03-11 21:35:00;119.633; 97.720
2021-03-11 21:36:00;119.733; 98.220
2021-03-11 21:37:00;120.550; 99.130
2021-03-11 21:38:00;116.200; 98.920
2021-03-11 21:39:00;122.517; 99.390
2021-03-11 21:40:00;116.617; 97.680
2021-03-11 21:41:00;121.483; 99.390
2021-03-11 21:42:00;116.250; 98.570
2021-03-11 21:43:00;121.017;101.040
2021-03-11 21:44:00;118.733; 98.710
2021-03-11 21:45:00;115.217;102.920
2021-03-11 21:46:00;121.900; 97.620
2021-03-11 21:47:00;117.350; 96.300
2021-03-11 21:48:00;115.283; 98.340
2021-03-11 21:49:00;115.783; 96.630
2021-03-11 21:50:00;116.367; 98.650
2021-03-11 21:51:00;115.667; 97.980
2021-03-11 21:52:00;118.383; 98.470
2021-03-11 21:53:00;117.833; 99.150
2021-03-11 21:54:00;117.017; 97.920
2021-03-11 21:55:00;118.233; 99.090
2021-03-11 21:56:00;117.833;101.540
2021-03-11 21:57:00;119.917; 98.890
2021-03-11 21:58:00;116.483; 99.190
2021-03-11 21:59:00;117.917; 96.100
2021-03-11 22:00:00;119.283; 99.070
